Comment,Designator,Footprint,JLCPCB Part #（optional）,,,,,,,
100k,VR1,PVG3A104C01R00,C5713245,,,,,Kvantitet,Beteckning,Leverantör och ref
100,R11,R0603,C22775,,,,,,,
100k,"R12, R13",R0603,C25803,,,,,,,
4.7k,"R6,R9,R8",R0603,C23162,,,,,,,
1k,R10,R0603,C21190,,,,,,,
1k,"R3,R7,R1,R4,R2,R5",R0805,C17513,,,,,,,
IRLML2502TRPBF,Q1,SOT95P237X112-3N,C2589,,,,,,,
D,D3,D_SMB,C353398,,,,,1,Thermistor,
74LS14,U2,SOIC-14_3.9x8.7mm_P1.27mm,C7739,,,,,3,4.7k,
XC9572XL-VQFP44,U1,LQFP-44_10x10mm_P0.8mm,C569042,,,,,1,1k,
100nF,"C6,C5",C0805,C519980,,,,,6,1K,
10uF,C1,C0805,C1713,,,,,1,10uF,
100nF,"C4,C2,C3",C0805,C519980,,,,,3,100nF,
Thermistor NTC,TH1,0603,C919169,,,,,,,
10uF,C7,C0805,C1713,,,,,,,
10uF,C8,C0805,C1713,,,,,,,
10k,R14,R0805,C17414,,,,,,,
10k,R15,R0805,C17414,,,,,,,
MAX660ESA,U4,SOIC-8,C7556,,,,,,,